"V1","V2"
"B","0.0727 ."
"Na","8.18706838802929e-70 ***"
"Mg","4.54492216599353e-21 ***"
"Al","1.35974362476024e-10 ***"
"P","2.00753500682217e-53 ***"
"K","2.99494827949709e-09 ***"
"Ca","1.18341821708864e-115 ***"
"Mn","1.00336364766785e-73 ***"
"Fe","4e-05 ***"
"Co","2.13542950628265e-48 ***"
"Cu","5.83793290512193e-78 ***"
"Zn","5.15374884951009e-109 ***"
"As","4.46126143735567e-11 ***"
"Se","0.24704 "
"Rb","1.21138441030643e-17 ***"
"Sr","2.09417914542561e-32 ***"
"Mo","5.66670118965205e-19 ***"
"Cd","1.44080131804569e-74 ***"
